algo_name,total_cities,optimal_distance
AntColonyOptimization,195,22098.832199981796
NearestNeighbor,196,22675.62557043718
AntColonyOptimization,196,21137.01538135879
NearestNeighbor,197,22675.62557043718
AntColonyOptimization,197,21604.084158275386
NearestNeighbor,198,22675.62557043718
AntColonyOptimization,198,21614.502030158852
NearestNeighbor,199,22675.62557043718
AntColonyOptimization,199,21275.48518056353
NearestNeighbor,200,22675.62557043718
AntColonyOptimization,200,21066.067109781383
NearestNeighbor,201,22675.62557043718
AntColonyOptimization,201,21263.50713496099
NearestNeighbor,202,22675.62557043718
AntColonyOptimization,202,21502.607348233556
NearestNeighbor,203,22675.62557043718
AntColonyOptimization,203,21320.38820126034
NearestNeighbor,204,22675.62557043718
AntColonyOptimization,204,21446.297386117658
NearestNeighbor,205,22675.62557043718
AntColonyOptimization,205,21383.500165119556
NearestNeighbor,206,22675.62557043718
AntColonyOptimization,206,20624.079598441225
NearestNeighbor,207,22675.62557043718
AntColonyOptimization,207,21145.199868970623
NearestNeighbor,208,22675.62557043718
AntColonyOptimization,208,21317.84876917255
NearestNeighbor,209,22675.62557043718
AntColonyOptimization,209,21401.919569832564
NearestNeighbor,210,22675.62557043718
AntColonyOptimization,210,21521.622155488232
NearestNeighbor,211,22675.62557043718
AntColonyOptimization,211,21502.39726227899
NearestNeighbor,212,22675.62557043718
AntColonyOptimization,212,21954.081004015385
NearestNeighbor,213,22675.62557043718
AntColonyOptimization,213,21693.2631738246
NearestNeighbor,214,22675.62557043718
AntColonyOptimization,214,21890.407583927776
NearestNeighbor,215,22675.62557043718
AntColonyOptimization,215,21629.70918810468
NearestNeighbor,216,22675.62557043718
AntColonyOptimization,216,21385.6391166139
NearestNeighbor,217,22675.62557043718
AntColonyOptimization,217,21176.77876455666
NearestNeighbor,218,22675.62557043718
AntColonyOptimization,218,21358.86947223129
NearestNeighbor,219,22675.62557043718
AntColonyOptimization,219,20709.530096277605
NearestNeighbor,220,22675.62557043718
AntColonyOptimization,220,21386.828801094307
NearestNeighbor,221,22675.62557043718
AntColonyOptimization,221,21614.655128103535
NearestNeighbor,222,22675.62557043718
AntColonyOptimization,222,21423.197664079955
NearestNeighbor,223,22675.62557043718
AntColonyOptimization,223,21309.36962892117
NearestNeighbor,224,22675.62557043718
AntColonyOptimization,224,21532.42393436983
NearestNeighbor,225,22675.62557043718
AntColonyOptimization,225,21691.355472082643
NearestNeighbor,226,22675.62557043718
AntColonyOptimization,226,21933.732106052437
NearestNeighbor,227,22675.62557043718
AntColonyOptimization,227,21730.708411517182
NearestNeighbor,228,22675.62557043718
AntColonyOptimization,228,22299.22399950726
NearestNeighbor,229,22675.62557043718
AntColonyOptimization,229,21124.628688933863
NearestNeighbor,230,22675.62557043718
AntColonyOptimization,230,21204.863701975195
NearestNeighbor,231,22675.62557043718
AntColonyOptimization,231,21545.25876758259
NearestNeighbor,232,22675.62557043718
AntColonyOptimization,232,21880.039233495736
NearestNeighbor,233,22675.62557043718
AntColonyOptimization,233,21440.080878641707
NearestNeighbor,234,22675.62557043718
AntColonyOptimization,234,21356.86940466318
NearestNeighbor,235,22675.62557043718
AntColonyOptimization,235,21875.692479692534
NearestNeighbor,236,22675.62557043718
AntColonyOptimization,236,20956.092888969597
NearestNeighbor,237,22675.62557043718
AntColonyOptimization,237,21548.124261395704
NearestNeighbor,238,22675.62557043718
AntColonyOptimization,238,21501.78270210363
NearestNeighbor,239,22675.62557043718
AntColonyOptimization,239,21514.99120565941
NearestNeighbor,240,22675.62557043718
AntColonyOptimization,240,22004.085880039376
NearestNeighbor,241,22675.62557043718
AntColonyOptimization,241,21822.525803129236
NearestNeighbor,242,22675.62557043718
AntColonyOptimization,242,21534.75006824981
NearestNeighbor,243,22675.62557043718
AntColonyOptimization,243,21687.32283166173
NearestNeighbor,244,22675.62557043718
AntColonyOptimization,244,21320.090579032596
NearestNeighbor,245,22675.62557043718
AntColonyOptimization,245,21775.529908641194
NearestNeighbor,246,22675.62557043718
AntColonyOptimization,246,21836.629997481818
NearestNeighbor,247,22675.62557043718
AntColonyOptimization,247,21528.05775007803
NearestNeighbor,248,22675.62557043718
AntColonyOptimization,248,21469.75651521519
NearestNeighbor,249,22675.62557043718
AntColonyOptimization,249,21302.438324729286
NearestNeighbor,250,22675.62557043718
AntColonyOptimization,250,21590.19895337824
NearestNeighbor,251,22675.62557043718
AntColonyOptimization,251,21586.31310450764
NearestNeighbor,252,22675.62557043718
AntColonyOptimization,252,21377.67715604203
NearestNeighbor,253,22675.62557043718
AntColonyOptimization,253,21699.831862940697
NearestNeighbor,254,22675.62557043718
AntColonyOptimization,254,22177.014696644364
NearestNeighbor,255,22675.62557043718
AntColonyOptimization,255,22186.371286152567
NearestNeighbor,256,22675.62557043718
AntColonyOptimization,256,21603.886213473375
NearestNeighbor,257,22675.62557043718
AntColonyOptimization,257,21894.837392082372
NearestNeighbor,258,22675.62557043718
AntColonyOptimization,258,21208.348208617266
NearestNeighbor,259,22675.62557043718
AntColonyOptimization,259,21777.709690163712
NearestNeighbor,260,22675.62557043718
AntColonyOptimization,260,21794.026860436366
NearestNeighbor,261,22675.62557043718
AntColonyOptimization,261,21388.26092500865
NearestNeighbor,262,22675.62557043718
AntColonyOptimization,262,21850.611725830655
NearestNeighbor,263,22675.62557043718
AntColonyOptimization,263,21623.895472080127
NearestNeighbor,264,22675.62557043718
AntColonyOptimization,264,20633.4926664243
NearestNeighbor,265,22675.62557043718
AntColonyOptimization,265,21520.858313437162
NearestNeighbor,266,22675.62557043718
AntColonyOptimization,266,21252.3099534756
NearestNeighbor,267,22675.62557043718
AntColonyOptimization,267,21824.889992487366
NearestNeighbor,268,22675.62557043718
AntColonyOptimization,268,21805.926435425077
NearestNeighbor,269,22675.62557043718
AntColonyOptimization,269,21630.574028125517
NearestNeighbor,270,22675.62557043718
AntColonyOptimization,270,21012.661451636246
NearestNeighbor,271,22675.62557043718
AntColonyOptimization,271,21262.187858146688
NearestNeighbor,272,22675.62557043718
AntColonyOptimization,272,21232.01288838989
NearestNeighbor,273,22675.62557043718
AntColonyOptimization,273,21512.602128323768
NearestNeighbor,274,22675.62557043718
AntColonyOptimization,274,21175.538078999958
NearestNeighbor,275,22675.62557043718
AntColonyOptimization,275,21294.250147608785
NearestNeighbor,276,22675.62557043718
AntColonyOptimization,276,21910.09072945026
NearestNeighbor,277,22675.62557043718
AntColonyOptimization,277,21551.88633565663
NearestNeighbor,278,22675.62557043718
AntColonyOptimization,278,21331.40597885682
NearestNeighbor,279,22675.62557043718
AntColonyOptimization,279,20929.685159089535
NearestNeighbor,280,22675.62557043718
AntColonyOptimization,280,21144.12527404685
NearestNeighbor,281,22675.62557043718
AntColonyOptimization,281,21950.402426457083
NearestNeighbor,282,22675.62557043718
AntColonyOptimization,282,21401.402809842588
NearestNeighbor,283,22675.62557043718
AntColonyOptimization,283,21482.291718975303
NearestNeighbor,284,22675.62557043718
AntColonyOptimization,284,21936.72087136539
NearestNeighbor,285,22675.62557043718
AntColonyOptimization,285,21851.468628618015
NearestNeighbor,286,22675.62557043718
AntColonyOptimization,286,21096.78774241961
NearestNeighbor,287,22675.62557043718
AntColonyOptimization,287,21798.656515154056
NearestNeighbor,288,22675.62557043718
AntColonyOptimization,288,22006.909340415565
NearestNeighbor,289,22675.62557043718
AntColonyOptimization,289,21934.777391990734
NearestNeighbor,290,22675.62557043718
AntColonyOptimization,290,21748.030018948626
NearestNeighbor,291,22675.62557043718
AntColonyOptimization,291,21301.07928214463
NearestNeighbor,292,22675.62557043718
AntColonyOptimization,292,20829.37694584887
NearestNeighbor,293,22675.62557043718
AntColonyOptimization,293,21376.198808996327
NearestNeighbor,294,22675.62557043718
AntColonyOptimization,294,21089.474731416572
NearestNeighbor,295,22675.62557043718
AntColonyOptimization,295,21755.87739725012
NearestNeighbor,296,22675.62557043718
AntColonyOptimization,296,21459.25907981843
NearestNeighbor,297,22675.62557043718
AntColonyOptimization,297,21624.84582649396
NearestNeighbor,298,22675.62557043718
AntColonyOptimization,298,21243.01771113597
NearestNeighbor,299,22675.62557043718
AntColonyOptimization,299,21295.734335834666
NearestNeighbor,300,22675.62557043718
AntColonyOptimization,300,21419.857559748965
NearestNeighbor,301,22675.62557043718
AntColonyOptimization,301,21272.150757367966
NearestNeighbor,302,22675.62557043718
AntColonyOptimization,302,21712.499833372276
NearestNeighbor,303,22675.62557043718
AntColonyOptimization,303,21221.909599316397
NearestNeighbor,304,22675.62557043718
AntColonyOptimization,304,22147.483319736442
NearestNeighbor,305,22675.62557043718
AntColonyOptimization,305,21486.171318403995
NearestNeighbor,306,22675.62557043718
AntColonyOptimization,306,21889.70935772839
NearestNeighbor,307,22675.62557043718
AntColonyOptimization,307,21213.177179267706
NearestNeighbor,308,22675.62557043718
AntColonyOptimization,308,21560.298264791203
NearestNeighbor,309,22675.62557043718
AntColonyOptimization,309,21708.35246939134
NearestNeighbor,310,22675.62557043718
AntColonyOptimization,310,21029.097613314672
NearestNeighbor,311,22675.62557043718
AntColonyOptimization,311,21307.126203133204
NearestNeighbor,312,22675.62557043718
AntColonyOptimization,312,21787.973412546326
NearestNeighbor,313,22675.62557043718
AntColonyOptimization,313,21307.37531677233
NearestNeighbor,314,22675.62557043718
AntColonyOptimization,314,21545.17902677515
NearestNeighbor,315,22675.62557043718
AntColonyOptimization,315,21504.808299876167
NearestNeighbor,316,22675.62557043718
AntColonyOptimization,316,21205.275251045114
NearestNeighbor,317,22675.62557043718
AntColonyOptimization,317,21080.478131212247
NearestNeighbor,318,22675.62557043718
AntColonyOptimization,318,22061.153934392576
NearestNeighbor,319,22675.62557043718
AntColonyOptimization,319,21461.2985305177
NearestNeighbor,320,22675.62557043718
AntColonyOptimization,320,21540.101520349224
NearestNeighbor,321,22675.62557043718
AntColonyOptimization,321,21330.128666572866
NearestNeighbor,322,22675.62557043718
AntColonyOptimization,322,21484.765219824392
NearestNeighbor,323,22675.62557043718
AntColonyOptimization,323,21332.946962466423
NearestNeighbor,324,22675.62557043718
AntColonyOptimization,324,21703.16547901078
NearestNeighbor,325,22675.62557043718
AntColonyOptimization,325,21680.495804516373
NearestNeighbor,326,22675.62557043718
AntColonyOptimization,326,21343.035480121172
NearestNeighbor,327,22675.62557043718
AntColonyOptimization,327,21623.14068338328
NearestNeighbor,328,22675.62557043718
AntColonyOptimization,328,21557.801460130453
NearestNeighbor,329,22675.62557043718
AntColonyOptimization,329,22016.17573554452
NearestNeighbor,330,22675.62557043718
AntColonyOptimization,330,21873.451515277175
NearestNeighbor,331,22675.62557043718
AntColonyOptimization,331,22103.506262261188
NearestNeighbor,332,22675.62557043718
AntColonyOptimization,332,21054.438304654836
NearestNeighbor,333,22675.62557043718
AntColonyOptimization,333,21610.7404451769
NearestNeighbor,334,22675.62557043718
AntColonyOptimization,334,21727.56688860362
NearestNeighbor,335,22675.62557043718
AntColonyOptimization,335,21949.161316920632
NearestNeighbor,336,22675.62557043718
AntColonyOptimization,336,21980.32711116024
NearestNeighbor,337,22675.62557043718
AntColonyOptimization,337,21097.777660678785
NearestNeighbor,338,22675.62557043718
AntColonyOptimization,338,22032.994268377483
NearestNeighbor,339,22675.62557043718
AntColonyOptimization,339,21910.907510803056
NearestNeighbor,340,22675.62557043718
AntColonyOptimization,340,21069.378802417203
NearestNeighbor,341,22675.62557043718
AntColonyOptimization,341,21651.609174686277
NearestNeighbor,342,22675.62557043718
AntColonyOptimization,342,21209.320690579963
NearestNeighbor,343,22675.62557043718
AntColonyOptimization,343,21654.663102694132
NearestNeighbor,344,22675.62557043718
AntColonyOptimization,344,21517.158766264103
NearestNeighbor,345,22675.62557043718
